codigo,anos_validos_extremos,primeiro_ano,ultimo_ano,maior_sequencia_consecutiva,estacao,uf,regiao,rede_extremos_10a,rede_extremos_15a,rede_extremos_consecutiva_10a,rede_extremos_consecutiva_15a
A032,9,2008.0,2022.0,3,MONTE ALEGRE DE GOIAS,GO,CO,False,False,False,False
A033,13,2008.0,2025.0,4,PIRES DO RIO,GO,CO,True,False,False,False
A034,14,2009.0,2025.0,7,CATALAO,GO,CO,True,False,False,False
A035,11,2009.0,2025.0,3,ITUMBIARA,GO,CO,True,False,False,False
A036,18,2008.0,2025.0,18,CRISTALINA,GO,CO,True,True,True,True
A037,11,2011.0,2025.0,5,SILVANIA,GO,CO,True,False,False,False
A038,9,2009.0,2023.0,4,DIANOPOLIS,TO,N,False,False,False,False
A039,0,,,0,FORMOSO DO ARAGUAIA,TO,N,False,False,False,False
A040,7,2014.0,2025.0,3,MATEIROS,TO,N,False,False,False,False
A041,4,2013.0,2025.0,2,MARIANOPOLIS DO TO,TO,N,False,False,False,False
A042,7,2018.0,2025.0,6,BRAZLANDIA,DF,CO,False,False,False,False
A043,4,2014.0,2019.0,2,CAMPOS LINDOS,TO,N,False,False,False,False
A044,7,2011.0,2025.0,5,ARAGUATINS,TO,N,False,False,False,False
A045,17,2009.0,2025.0,17,AGUAS EMENDADAS,DF,CO,True,True,True,True
A046,11,2015.0,2025.0,11,GAMA (PONTE ALTA),DF,CO,True,False,True,False
A047,7,2018.0,2025.0,4,PARANOA (COOPA-DF),DF,CO,False,False,False,False
A048,4,2018.0,2025.0,3,SANTA FE DO ARAGUAIA,TO,N,False,False,False,False
A049,2,2017.0,2020.0,1,COLINAS DO TOCANTINS,TO,N,False,False,False,False
A050,0,,,0,RIO SONO,TO,N,False,False,False,False
A051,4,2018.0,2023.0,2,PIUM,TO,N,False,False,False,False
A052,0,,,0,SANTA ROSA DO TOCANTINS,TO,N,False,False,False,False
A053,4,2018.0,2025.0,2,ALMAS,TO,N,False,False,False,False
A054,3,2016.0,2025.0,1,ARAGUACU,TO,N,False,False,False,False
A055,5,2017.0,2025.0,3,LAGOA DA CONFUSAO,TO,N,False,False,False,False
A056,5,2019.0,2025.0,2,CRISTALINA (FAZENDA SANTA MONICA),GO,CO,False,False,False,False
A101,16,2007.0,2025.0,15,MANAUS,AM,N,True,True,True,True
A102,5,2015.0,2022.0,3,PARQUE ESTADUAL CHANDLESS,AC,N,False,False,False,False
A104,0,,,0,RIO BRANCO,AC,N,False,False,False,False
A108,0,,,0,CRUZEIRO DO SUL,AC,N,False,False,False,False
A109,1,2015.0,2015.0,1,EIRUNEPE,AM,N,False,False,False,False
A110,8,2012.0,2025.0,3,BOCA DO ACRE,AM,N,False,False,False,False
A111,0,,,0,LABREA,AM,N,False,False,False,False
A112,0,,,0,HUMAITA,AM,N,False,False,False,False
A113,5,2011.0,2015.0,5,APUI,AM,N,False,False,False,False
A117,5,2011.0,2019.0,2,COARI,AM,N,False,False,False,False
A119,12,2009.0,2025.0,5,MANACAPURU,AM,N,True,False,False,False
A120,0,,,0,AUTAZES,AM,N,False,False,False,False
A121,10,2009.0,2025.0,3,ITACOATIARA,AM,N,True,False,False,False
A122,6,2009.0,2014.0,6,MAUES,AM,N,False,False,False,False
A123,4,2009.0,2024.0,2,PARINTINS,AM,N,False,False,False,False
A124,0,,,0,URUCARA,AM,N,False,False,False,False
A125,0,,,0,RIO URUBU,AM,N,False,False,False,False
A126,8,2009.0,2018.0,4,PRESIDENTE FIGUEIREDO,AM,N,False,False,False,False
A128,9,2009.0,2025.0,4,BARCELOS,AM,N,False,False,False,False
A133,7,2012.0,2024.0,4,MANICORE,AM,N,False,False,False,False
A134,9,2012.0,2024.0,4,S. G. DA CACHOEIRA,AM,N,False,False,False,False
A135,5,2011.0,2019.0,3,BOA VISTA,RR,N,False,False,False,False
A136,2,2015.0,2018.0,1,PORTO WALTER,AC,N,False,False,False,False
A137,1,2015.0,2015.0,1,MARECHAL THAUMATURGO,AC,N,False,False,False,False
A138,0,,,0,FEIJO,AC,N,False,False,False,False
A140,9,2010.0,2025.0,4,EPITACIOLANDIA,AC,N,False,False,False,False
A144,1,2025.0,2025.0,1,NOVO ARIPUANA,AM,N,False,False,False,False
A201,10,2010.0,2024.0,4,BELEM,PA,N,True,False,False,False
A202,11,2004.0,2025.0,5,CASTANHAL,PA,N,True,False,False,False
A203,10,2012.0,2025.0,6,SAO LUIS,MA,NE,True,False,False,False
A204,4,2008.0,2019.0,2,BALSAS,MA,NE,False,False,False,False
A205,9,2012.0,2025.0,6,CAROLINA,MA,NE,False,False,False,False
A206,10,2009.0,2025.0,5,CHAPADINHA,MA,NE,True,False,False,False
A207,7,2009.0,2024.0,2,GRAJAU,MA,NE,False,False,False,False
A209,8,2009.0,2023.0,6,MEDICILANDIA,PA,N,False,False,False,False
A210,1,2025.0,2025.0,1,PACAJA,PA,N,False,False,False,False
A211,6,2009.0,2023.0,2,PLACAS,PA,N,False,False,False,False
A212,0,,,0,PARAGOMINAS,PA,N,False,False,False,False
A213,7,2008.0,2025.0,2,TOME ACU,PA,N,False,False,False,False
A214,8,2009.0,2024.0,4,RONDON DO PARA,PA,N,False,False,False,False
A215,4,2009.0,2016.0,2,SALINOPOLIS,PA,N,False,False,False,False
A216,2,2017.0,2021.0,1,SAO FELIX DO XINGU,PA,N,False,False,False,False
A217,5,2009.0,2018.0,2,FAROL de SANTANA,MA,NE,False,False,False,False
A218,7,2009.0,2024.0,2,PREGUICAS,MA,NE,False,False,False,False
A219,9,2009.0,2025.0,3,TURIACU,MA,NE,False,False,False,False
A220,7,2009.0,2025.0,3,BACABAL,MA,NE,False,False,False,False
A221,7,2009.0,2018.0,3,BARRA DO CORDA,MA,NE,False,False,False,False
A222,6,2009.0,2023.0,2,COLINAS,MA,NE,False,False,False,False
A223,8,2009.0,2024.0,4,ALTO PARNAIBA,MA,NE,False,False,False,False
A224,9,2009.0,2025.0,3,ESTREITO,MA,NE,False,False,False,False
A225,12,2009.0,2023.0,5,IMPERATRIZ,MA,NE,True,False,False,False
A226,10,2009.0,2024.0,3,BRAGANCA,PA,N,True,False,False,False
A227,0,,,0,SOURE,PA,N,False,False,False,False
A228,2,2018.0,2019.0,2,BREVES,PA,N,False,False,False,False
A229,10,2009.0,2024.0,3,TUCURUI,PA,N,True,False,False,False
A230,6,2009.0,2018.0,4,SERRA DOS CARAJAS,PA,N,False,False,False,False
A231,8,2009.0,2025.0,3,ITAITUBA,PA,N,False,False,False,False
A232,0,,,0,OBIDOS,PA,N,False,False,False,False
A233,7,2009.0,2024.0,2,SANTANA DO ARAGUAIA,PA,N,False,False,False,False
A234,5,2017.0,2025.0,3,TUCUMA,PA,N,False,False,False,False
A235,8,2009.0,2020.0,4,NOVO REPARTIMENTO,PA,N,False,False,False,False
A236,2,2013.0,2019.0,1,CAMETA,PA,N,False,False,False,False
A237,7,2009.0,2024.0,2,CAXIAS,MA,NE,False,False,False,False
A238,10,2009.0,2025.0,9,BURITICUPU,MA,NE,True,False,False,False
A239,2,2013.0,2016.0,1,MONTE ALEGRE,PA,N,False,False,False,False
A240,0,,,0,MARABA,PA,N,False,False,False,False
A241,0,,,0,CONCEICAO DO ARAGUAIA,PA,N,False,False,False,False
A242,6,2009.0,2025.0,2,OIAPOQUE,AP,N,False,False,False,False
A244,2,2023.0,2024.0,2,PORTO GRANDE,AP,N,False,False,False,False
A245,2,2023.0,2024.0,2,PORTO DE MOZ,PA,N,False,False,False,False
A246,4,2012.0,2016.0,3,MINA DO PALITO,PA,N,False,False,False,False
A247,4,2017.0,2024.0,1,XINGUARA,PA,N,False,False,False,False
A248,4,2012.0,2019.0,2,CAPITAO POCO,PA,N,False,False,False,False
A249,5,2014.0,2025.0,3,MACAPA,AP,N,False,False,False,False
A250,4,2016.0,2024.0,2,SANTAREM,PA,N,False,False,False,False
A251,0,,,0,ITAUBAL,AP,N,False,False,False,False
A252,5,2019.0,2025.0,3,DOM ELISEU,PA,N,False,False,False,False
A253,3,2019.0,2024.0,2,ALTAMIRA,PA,N,False,False,False,False
A254,4,2020.0,2025.0,2,REDENCAO,PA,N,False,False,False,False
A255,4,2020.0,2025.0,3,ZE DOCA,MA,NE,False,False,False,False
A256,1,2024.0,2024.0,1,SANTA MARIA DAS BARREIRAS,PA,N,False,False,False,False
A301,9,2005.0,2020.0,6,RECIFE,PE,NE,False,False,False,False
A303,15,2004.0,2025.0,7,MACEIO,AL,NE,True,True,False,False
A304,0,,,0,NATAL,RN,NE,False,False,False,False
A305,8,2013.0,2023.0,3,FORTALEZA,CE,NE,False,False,False,False
A306,5,2013.0,2020.0,4,SOBRAL,CE,NE,False,False,False,False
A307,14,2004.0,2021.0,7,PETROLINA,PE,NE,True,False,False,False
A308,6,2010.0,2023.0,3,PARNAIBA,PI,NE,False,False,False,False
A309,10,2005.0,2025.0,5,ARCO VERDE,PE,NE,True,False,False,False
A310,15,2005.0,2024.0,6,AREIA,PB,NE,True,True,False,False
A311,9,2007.0,2019.0,5,FLORIANO,PI,NE,False,False,False,False
A312,5,2015.0,2023.0,4,TERESINA,PI,NE,False,False,False,False
A313,11,2008.0,2022.0,3,CAMPINA GRANDE,PB,NE,True,False,False,False
A314,0,,,0,GUARAMIRANGA,CE,NE,False,False,False,False
A315,6,2008.0,2020.0,2,BARBALHA,CE,NE,False,False,False,False
A316,9,2007.0,2025.0,3,CAICO,RN,NE,False,False,False,False
A317,5,2007.0,2023.0,3,MACAU,RN,NE,False,False,False,False
A318,7,2008.0,2025.0,3,MOSSORO,RN,NE,False,False,False,False
A319,2,2008.0,2014.0,1,IGUATU,CE,NE,False,False,False,False
A320,6,2008.0,2024.0,3,JOAO PESSOA,PB,NE,False,False,False,False
A321,7,2008.0,2020.0,2,PATOS,PB,NE,False,False,False,False
A322,12,2008.0,2025.0,6,GARANHUNS,PE,NE,True,False,False,False
A323,6,2008.0,2024.0,2,PAO DE ACUCAR,AL,NE,False,False,False,False
A324,7,2008.0,2017.0,4,TAUA,CE,NE,False,False,False,False
A325,5,2008.0,2017.0,2,QUIXERAMOBIM,CE,NE,False,False,False,False
A326,9,2008.0,2023.0,4,BOM JESUS DO PIAUI,PI,NE,False,False,False,False
A327,9,2008.0,2020.0,3,PALMEIRA DOS INDIOS,AL,NE,False,False,False,False
A328,7,2009.0,2019.0,4,SURUBIM,PE,NE,False,False,False,False
A329,12,2008.0,2025.0,5,CABROBO,PE,NE,True,False,False,False
A330,0,,,0,PAULISTANA,PI,NE,False,False,False,False
A331,6,2008.0,2016.0,3,SAO JOAO DO PIAUI,PI,NE,False,False,False,False
A332,0,,,0,MORADA NOVA,CE,NE,False,False,False,False
A333,0,,,0,SAO GONCALO,PB,NE,False,False,False,False
A334,9,2008.0,2023.0,3,MONTEIRO,PB,NE,False,False,False,False
A335,8,2009.0,2024.0,2,PIRIPIRI,PI,NE,False,False,False,False
A336,0,,,0,ALVORADA DO GURGUEIA,PI,NE,False,False,False,False
A337,3,2010.0,2018.0,1,CARACOL,PI,NE,False,False,False,False
A338,4,2008.0,2015.0,3,ESPERANTINA,PI,NE,False,False,False,False
A339,0,,,0,JAGUARUANA,CE,NE,False,False,False,False
A340,7,2008.0,2023.0,2,APODI,RN,NE,False,False,False,False
A341,0,,,0,CARUARU,PE,NE,False,False,False,False
A342,11,2011.0,2024.0,5,CRATEUS,CE,NE,True,False,False,False
A343,5,2010.0,2019.0,2,PICOS,PI,NE,False,False,False,False
A344,2,2011.0,2015.0,1,CALCANHAR,RN,NE,False,False,False,False
A345,7,2009.0,2018.0,3,SAO RAIMUNDO NONATO,PI,NE,False,False,False,False
A346,11,2009.0,2024.0,4,URUCUI,PI,NE,True,False,False,False
A347,6,2009.0,2018.0,3,CAMPOS SALES,CE,NE,False,False,False,False
A348,11,2009.0,2023.0,4,CABACEIRAS,PB,NE,True,False,False,False
A349,13,2009.0,2025.0,8,IBIMIRIM,PE,NE,True,False,False,False
A350,8,2009.0,2020.0,4,SERRA TALHADA,PE,NE,False,False,False,False
A351,9,2009.0,2024.0,3,FLORESTA,PE,NE,False,False,False,False
A352,6,2009.0,2023.0,3,CAMARATUBA,PB,NE,False,False,False,False
A353,8,2009.0,2017.0,7,ARAPIRACA,AL,NE,False,False,False,False
A354,8,2009.0,2024.0,2,OEIRAS,PI,NE,False,False,False,False
A355,9,2009.0,2025.0,4,CORURIPE,AL,NE,False,False,False,False
A356,7,2009.0,2019.0,2,SAO LUIS DO QUITUNDE,AL,NE,False,False,False,False
A357,10,2009.0,2025.0,6,PALMARES,PE,NE,True,False,False,False
A358,10,2009.0,2023.0,4,JAGUARIBE,CE,NE,True,False,False,False
A359,6,2009.0,2023.0,2,ITAPIPOCA,CE,NE,False,False,False,False
A360,7,2010.0,2018.0,4,ACARAU,CE,NE,False,False,False,False
A361,7,2010.0,2024.0,3,CASTELO DO PIAUI,PI,NE,False,False,False,False
A362,5,2011.0,2018.0,2,SAO PEDRO DO PIAUI,PI,NE,False,False,False,False
A363,10,2010.0,2025.0,6,VALENCA DO PIAUI,PI,NE,True,False,False,False
A364,7,2010.0,2024.0,3,GILBUES,PI,NE,False,False,False,False
A365,0,,,0,CANTO DO BURITI,PI,NE,False,False,False,False
A366,4,2011.0,2025.0,2,OURICURI,PE,NE,False,False,False,False
A367,4,2012.0,2017.0,2,SANTA CRUZ,RN,NE,False,False,False,False
A368,3,2019.0,2023.0,2,TIANGUA,CE,NE,False,False,False,False
A369,1,2023.0,2023.0,1,QUIXADA,CE,NE,False,False,False,False
A370,4,2018.0,2025.0,3,SALGUEIRO,PE,NE,False,False,False,False
A371,4,2018.0,2025.0,2,PIRANHAS,AL,NE,False,False,False,False
A372,1,2018.0,2018.0,1,IPANGUACU,RN,NE,False,False,False,False
A373,1,2018.0,2018.0,1,ITAPORANGA,PB,NE,False,False,False,False
A374,5,2019.0,2025.0,4,CORRENTE,PI,NE,False,False,False,False
A375,3,2020.0,2025.0,2,BAIXA GRANDE DO RIBEIRO,PI,NE,False,False,False,False
A376,0,,,0,CAMPO MAIOR,PI,NE,False,False,False,False
A377,1,2020.0,2020.0,1,ANGICAL DO PIAUI,PI,NE,False,False,False,False
A401,15,2004.0,2025.0,9,SALVADOR,BA,NE,True,True,False,False
A402,12,2007.0,2024.0,4,BARREIRAS,BA,NE,True,False,False,False
A404,11,2007.0,2024.0,4,LUIZ EDUARDO MAGALHAES,BA,NE,True,False,False,False
A405,8,2004.0,2025.0,2,CARAVELAS,BA,NE,False,False,False,False
A406,0,,,0,CRUZ DAS ALMAS,BA,NE,False,False,False,False
A407,12,2004.0,2022.0,5,ITIRUCU,BA,NE,True,False,False,False
A408,16,2004.0,2025.0,12,ITABERABA,BA,NE,True,True,True,False
A409,11,2004.0,2020.0,10,ARACAJU,SE,NE,True,False,True,False
A410,7,2004.0,2024.0,3,ILHEUS,BA,NE,False,False,False,False
A412,0,,,0,MACAJUBA,BA,NE,False,False,False,False
A413,8,2008.0,2022.0,4,FEIRA DE SANTANA,BA,NE,False,False,False,False
A414,13,2008.0,2025.0,6,VITORIA DA CONQUISTA,BA,NE,True,False,False,False
A415,6,2008.0,2018.0,2,SANTA RITA DE CASSIA,BA,NE,False,False,False,False
A416,10,2010.0,2025.0,3,CORRENTINA,BA,NE,True,False,False,False
A417,10,2008.0,2025.0,3,ITABAIANINHA,SE,NE,True,False,False,False
A418,0,,,0,BOM JESUS DA LAPA,BA,NE,False,False,False,False
A419,7,2009.0,2021.0,2,POCO VERDE,SE,NE,False,False,False,False
A420,7,2009.0,2020.0,3,CARIRA,SE,NE,False,False,False,False
A421,8,2009.0,2025.0,3,BREJO GRANDE,SE,NE,False,False,False,False
A422,2,2015.0,2019.0,1,ABROLHOS,BA,NE,False,False,False,False
A423,9,2009.0,2023.0,2,REMANSO,BA,NE,False,False,False,False
A424,11,2009.0,2025.0,5,IRECE,BA,NE,True,False,False,False
A425,10,2009.0,2023.0,3,LENCOIS,BA,NE,True,False,False,False
A426,10,2009.0,2025.0,4,GUANAMBI,BA,NE,True,False,False,False
A427,6,2009.0,2018.0,3,PORTO SEGURO,BA,NE,False,False,False,False
A428,9,2009.0,2023.0,3,SENHOR DO BONFIM,BA,NE,False,False,False,False
A429,8,2009.0,2025.0,3,BARRA,BA,NE,False,False,False,False
A430,14,2009.0,2023.0,12,PIATA,BA,NE,True,False,True,False
A431,0,,,0,CONDE,BA,NE,False,False,False,False
A432,4,2012.0,2015.0,4,BURITIRAMA,BA,NE,False,False,False,False
A433,14,2009.0,2024.0,7,BRUMADO,BA,NE,True,False,False,False
A434,13,2009.0,2025.0,5,AMARGOSA,BA,NE,True,False,False,False
A435,7,2009.0,2018.0,2,UAUA,BA,NE,False,False,False,False
A436,9,2009.0,2023.0,3,QUEIMADAS,BA,NE,False,False,False,False
A437,10,2009.0,2024.0,4,UNA,BA,NE,True,False,False,False
A438,7,2009.0,2020.0,3,MARAU,BA,NE,False,False,False,False
A439,9,2009.0,2025.0,2,IBOTIRAMA,BA,NE,False,False,False,False
A440,8,2009.0,2019.0,4,JACOBINA,BA,NE,False,False,False,False
A441,10,2009.0,2019.0,8,SERRINHA,BA,NE,True,False,False,False
A442,10,2009.0,2025.0,4,EUCLIDES DA CUNHA,BA,NE,True,False,False,False
A443,9,2009.0,2025.0,4,DELFINO,BA,NE,False,False,False,False
A444,4,2014.0,2023.0,1,VALENCA,BA,NE,False,False,False,False
A445,8,2010.0,2019.0,5,IPIAU,BA,NE,False,False,False,False
A446,7,2010.0,2020.0,3,ITAPETINGA,BA,NE,False,False,False,False
A447,9,2010.0,2025.0,3,BELMONTE,BA,NE,False,False,False,False
A448,4,2016.0,2020.0,3,CURACA,BA,NE,False,False,False,False
A449,0,,,0,PILAO ARCADO,BA,NE,False,False,False,False
A450,6,2016.0,2024.0,4,JEREMOABO,BA,NE,False,False,False,False
A451,2,2018.0,2019.0,2,ITABAIANA,SE,NE,False,False,False,False
A452,2,2018.0,2019.0,2,FORMOSO DO RIO PRETO,BA,NE,False,False,False,False
A453,3,2018.0,2024.0,1,NOSSA SENHORA DA GLORIA,SE,NE,False,False,False,False
A454,1,2018.0,2018.0,1,MACAUBAS,BA,NE,False,False,False,False
A455,0,,,0,ITAMARAJU,BA,NE,False,False,False,False
A456,4,2019.0,2025.0,2,SALVADOR (RADIO FAROL),BA,NE,False,False,False,False
A458,6,2019.0,2025.0,5,RIBEIRA DO AMPARO,BA,NE,False,False,False,False
A502,15,2009.0,2025.0,10,BARBACENA,MG,SE,True,True,True,False
A505,17,2003.0,2024.0,8,ARAXA,MG,SE,True,True,False,False
A506,16,2004.0,2025.0,10,MONTES CLAROS,MG,SE,True,True,True,False
A507,18,2007.0,2025.0,17,UBERLANDIA,MG,SE,True,True,True,True
A508,13,2004.0,2025.0,5,ALMENARA,MG,SE,True,False,False,False
A509,18,2007.0,2025.0,10,MONTE VERDE,MG,SE,True,True,True,False
A510,16,2008.0,2025.0,11,VICOSA,MG,SE,True,True,True,False
A511,11,2007.0,2025.0,5,TIMOTEO,MG,SE,True,False,False,False
A512,12,2008.0,2025.0,4,ITUIUTABA,MG,SE,True,False,False,False
A513,15,2007.0,2025.0,12,OURO BRANCO,MG,SE,True,True,True,False
A514,0,,,0,SAO JOAO DEL REI,MG,SE,False,False,False,False
A515,14,2007.0,2024.0,9,VARGINHA,MG,SE,True,False,False,False
A516,14,2007.0,2025.0,5,PASSOS,MG,SE,True,False,False,False
A517,11,2007.0,2023.0,4,MURIAE,MG,SE,True,False,False,False
A518,13,2008.0,2024.0,7,JUIZ DE FORA,MG,SE,True,False,False,False
A519,12,2007.0,2025.0,3,CAMPINA VERDE,MG,SE,True,False,False,False
A520,14,2008.0,2025.0,6,CONCEICAO DAS ALAGOAS,MG,SE,True,False,False,False
A521,18,2007.0,2025.0,17,PAMPULHA,MG,SE,True,True,True,True
A522,12,2007.0,2025.0,4,SERRA DOS AIMORES,MG,SE,True,False,False,False
A523,12,2008.0,2023.0,8,PATROCINIO,MG,SE,True,False,False,False
A524,13,2007.0,2025.0,8,FORMIGA,MG,SE,True,False,False,False
A525,15,2007.0,2025.0,7,SACRAMENTO,MG,SE,True,True,False,False
A526,0,,,0,MONTALVANIA,MG,SE,False,False,False,False
A527,10,2007.0,2023.0,4,TEOFILO OTONI,MG,SE,True,False,False,False
A528,15,2007.0,2025.0,6,TRES MARIAS,MG,SE,True,True,False,False
A529,11,2009.0,2023.0,7,PASSA QUATRO,MG,SE,True,False,False,False
A530,15,2007.0,2024.0,7,CALDAS,MG,SE,True,True,False,False
A531,18,2008.0,2025.0,18,MARIA DA FE,MG,SE,True,True,True,True
A532,11,2008.0,2025.0,5,GOVERNADOR VALADARES,MG,SE,True,False,False,False
A533,16,2008.0,2024.0,11,GUANHAES,MG,SE,True,True,True,False
A534,10,2008.0,2024.0,5,AIMORES,MG,SE,True,False,False,False
A535,14,2009.0,2025.0,9,FLORESTAL,MG,SE,True,False,False,False
A536,12,2008.0,2025.0,3,DORES DO INDAIA,MG,SE,True,False,False,False
A537,14,2008.0,2025.0,6,DIAMANTINA,MG,SE,True,False,False,False
A538,15,2007.0,2025.0,5,CURVELO,MG,SE,True,True,False,False
A539,15,2008.0,2025.0,10,MOCAMBINHO,MG,SE,True,True,True,False
A540,14,2008.0,2025.0,6,MANTENA,MG,SE,True,False,False,False
A541,13,2008.0,2025.0,8,CAPELINHA,MG,SE,True,False,False,False
A542,12,2008.0,2025.0,4,UNAI,MG,SE,True,False,False,False
A543,8,2008.0,2023.0,5,ESPINOSA,MG,SE,False,False,False,False
A544,9,2008.0,2025.0,3,BURITIS,MG,SE,False,False,False,False
A545,9,2008.0,2025.0,2,PIRAPORA,MG,SE,False,False,False,False
A546,11,2008.0,2024.0,7,GUARDA-MOR,MG,SE,True,False,False,False
A547,10,2008.0,2023.0,3,SAO ROMAO,MG,SE,True,False,False,False
A548,10,2008.0,2023.0,2,CHAPADA GAUCHA,MG,SE,True,False,False,False
A549,8,2008.0,2025.0,3,AGUAS VERMELHAS,MG,SE,False,False,False,False
A550,15,2008.0,2024.0,9,ITAOBIM,MG,SE,True,True,False,False
A551,13,2008.0,2025.0,4,RIO PARDO DE MINAS,MG,SE,True,False,False,False
A552,12,2008.0,2025.0,5,SALINAS,MG,SE,True,False,False,False
A553,9,2008.0,2023.0,4,JOAO PINHEIRO,MG,SE,False,False,False,False
A554,15,2008.0,2025.0,5,CARATINGA,MG,SE,True,True,False,False
A555,15,2009.0,2024.0,14,IBIRITE (ROLA MOCA),MG,SE,True,True,True,False
A556,7,2012.0,2023.0,3,MANHUACU,MG,SE,False,False,False,False
A557,10,2013.0,2025.0,4,CORONEL PACHECO,MG,SE,True,False,False,False
A559,5,2018.0,2025.0,2,JANUARIA,MG,SE,False,False,False,False
A560,3,2022.0,2025.0,2,POMPEU,MG,SE,False,False,False,False
A561,6,2016.0,2024.0,3,SAO SEBASTIAO DO PARAISO,MG,SE,False,False,False,False
A562,4,2018.0,2025.0,2,PATOS DE MINAS,MG,SE,False,False,False,False
A563,6,2017.0,2025.0,4,JANAUBA,MG,SE,False,False,False,False
A564,7,2018.0,2024.0,7,DIVINOPOLIS,MG,SE,False,False,False,False
A565,6,2017.0,2025.0,2,BAMBUI,MG,SE,False,False,False,False
A566,0,,,0,ARACUAI,MG,SE,False,False,False,False
A567,4,2019.0,2023.0,3,MACHADO,MG,SE,False,False,False,False
A568,6,2018.0,2025.0,3,UBERABA,MG,SE,False,False,False,False
A569,4,2018.0,2025.0,2,SETE LAGOAS,MG,SE,False,False,False,False
A570,6,2018.0,2025.0,2,OLIVEIRA,MG,SE,False,False,False,False
A571,4,2019.0,2024.0,2,PARACATU,MG,SE,False,False,False,False
A572,0,,,0,BELO HORIZONTE - SANTO AGOSTINHO,MG,SE,False,False,False,False
A601,19,2003.0,2025.0,8,ECOLOGIA AGRICOLA,RJ,SE,True,True,False,False
A602,13,2004.0,2024.0,5,MARAMBAIA,RJ,SE,True,False,False,False
A603,13,2010.0,2025.0,9,XEREM,RJ,SE,True,False,False,False
A604,12,2007.0,2025.0,4,CAMBUCI,RJ,SE,True,False,False,False
A606,13,2007.0,2025.0,4,ARRAIAL DO CABO,RJ,SE,True,False,False,False
A607,15,2007.0,2025.0,8,CAMPOS,RJ,SE,True,True,False,False
A608,10,2007.0,2023.0,3,MACAE,RJ,SE,True,False,False,False
A609,12,2007.0,2025.0,5,RESENDE,RJ,SE,True,False,False,False
A610,11,2007.0,2025.0,4,PICO DO COUTO,RJ,SE,True,False,False,False
A611,14,2007.0,2024.0,4,VALENCA,RJ,SE,True,False,False,False
A612,14,2007.0,2025.0,8,VITORIA,ES,SE,True,False,False,False
A613,10,2008.0,2025.0,2,SANTA TERESA,ES,SE,True,False,False,False
A614,13,2007.0,2025.0,6,LINHARES,ES,SE,True,False,False,False
A615,14,2007.0,2024.0,7,ALFREDO CHAVES,ES,SE,True,False,False,False
A616,16,2007.0,2025.0,8,SAO MATEUS,ES,SE,True,True,False,False
A617,15,2007.0,2025.0,5,ALEGRE,ES,SE,True,True,False,False
A618,14,2007.0,2023.0,5,TERESOPOLIS,RJ,SE,True,False,False,False
A619,11,2009.0,2024.0,4,PARATI,RJ,SE,True,False,False,False
A620,10,2009.0,2023.0,5,SAO TOME,RJ,SE,True,False,False,False
A621,12,2008.0,2025.0,7,VILA MILITAR,RJ,SE,True,False,False,False
A622,9,2009.0,2025.0,2,PRES. KENNEDY,ES,SE,False,False,False,False
A623,9,2009.0,2022.0,5,NOVA VENECIA,ES,SE,False,False,False,False
